1 1 534817 39.2 88 20 1 1 4 1 3 4 2 2 2 3.0000000032274 4 2 50 85 2 2 3 2 02208 00000 00000 2
2 1 530334 38.3 40 24 1 1 3 1 3 3 1 2 2 3.00000000371442 1 1 33 6.7 1 3.0000000018572 1 2 00000 00000 00000 1
1 9 5290409 39.1 164 84 4 1 6 2 2 4 4 1 2 5 3 2 48 7.2 3 5.3 2 1 02208 00000 00000 1
1 1 526802 37.9 48 16 1 1 1 1 3 3 3 1 1 5.03042727988649 3 5 37 7 1 3.59277253096876 1 1 03124 00000 00000 2
2 1 530051 38.3000000000684 80 36 3 4 3 1 4 4 4 2 1 3.00000000038927 3 5 38 6.2 1 3.00000000019454 3 1 03205 00000 00000 2
2 9 5299629 38.3 90 16.0000006658511 1 1 1 1 5 3 1 2 1 3.00000013317023 3 1 40 6.2 1 2.2 1 2 00000 00000 00000 1
1 1 528548 38.1 66 12 3 3 5 1 3 3 1 2 1 3 2 5 44 6 2 3.6 1 1 02124 00000 00000 1
2 1 527927 39.1 72 52 2 1 2 1 2 1 2 1 1 6.04528970319867 4 4 50 7.8 3 4.49818672199896 1 1 02111 00000 00000 2
1 1 528031 37.2 42 12 2 1 1 1 3 3 3 3 1 3.74166366219032 4 5 35.0062298715835 7 1 3.27812387664385 1 2 04124 00000 00000 2
2 9 5291329 38 92 28 1 1 2 1 1 3 2 3 2 7.2 1 1 37 6.1 1 4.30755555496779 2 2 00000 00000 00000 1
1 1 534917 38.2 76 28 3 1 1 1 3 4 1 2 2 3.00000000324647 4 4 46 81 1 2 1 1 02112 00000 00000 2
1 1 530233 37.6 96 48 3 1 4 1 5 3 3 2 3 4.5 4 1 45 6.8 1 3.000000000079 2 1 03207 00000 00000 2
1 9 5301219 38.3000000105868 128 36 3 3 4 2 4 4 3 3 2 3.00000006049438 4 5 53 7.8 3 4.7 2 2 01400 00000 00000 1
1 1 5290481 37.6 64 21 1 1 2 1 2 3 1 1 1 3.59559817474792 2 5 40 7 1 3.22334931574589 1 1 04205 00000 00000 1
1 1 530157 39.9 72 60 1 1 5 2 5 4 4 3 1 3.00000006231871 4 4 46 6.1 2 3.00000003115928 1 1 02111 00000 00000 2
2 1 529340 38.4 48 16 1 1 1 1 1 3 1 2 3 5.5 4 3 49 6.8 3 4.49034142927414 1 2 00000 00000 00000 2
1 1 533692 38.1 60 12 3 3 3 1 1 4 3 3 2 2 1 1 51 65 1 3.00000000071917 1 1 03111 00000 00000 2
1 1 530526 38.3 72 30 4 3 3 2 3 3 3 2 1 3.00000000145864 3 5 43 7 2 3.9 1 1 03111 00000 00000 1
1 1 528653 37.8 48 12 3 1 1 1 1 3 2 1 1 3.42941852860424 1 3 37 5.5 2 1.3 1 2 04122 00000 00000 1
2 1 529475 37.7 96 30 3 3 4 2 5 4 4 3 2 4 4 5 66 7.5 3 4.21060710144856 2 1 04205 00000 00000 2
2 1 530242 37.2 108 12 3 3 4 2 2 4 2 2 3 6 3 3 52 8.2 3 7.4 3 1 02207 00000 00000 1
1 1 529427 37.2 60 24.6830881849769 2 1 1 1 3 3 3 2 1 4.73661763699537 4 5 43 6.6 1 3.69473347940986 1 1 02209 00000 00000 2
1 1 529663 38.2 64 28 1 1 1 1 3 1 1 2 2 4.0119519221371 4 4 49 8.6 2 6.6 1 1 02208 00000 00000 1
1 1 529796 38.3258904074746 100 30 3 3 4 2 5 4 4 3 3 3.14794092270969 4 4 52 6.6 1 3.07397017443161 1 1 01124 00000 00000 2
2 1 529493 38.3 112 16 1 3 5 2 1 1 1 1 2 4.91455674663201 1 5 51 6 2 1 3 2 05205 00000 00000 1
1 1 533847 37.8 72 16.0000000078754 1 3 1 1 5 3 1 2 1 3.00000000157507 1 1 56 80 1 2 1 1 03111 00000 00000 2
2 1 528996 38.6 52 29.6461232936429 1 1 1 1 3 3 2 1 1 5.72922465874991 1 3 32 6.6 1 5 1 2 00000 00000 00000 1
1 1 529498 39.5573185461401 88 28.5731857554826 3 3 6 2 5 3 3 1 3 5.51463715109651 4 5 63 6.5 3 3.94298894297203 2 1 04205 00000 00000 2
2 1 530301 38 60 12 3 1 3 1 3 3 1 1 1 3.00000000097378 2 2 47 7 1 3.00000000048688 1 2 03111 00000 00000 2
1 1 534069 38.3000000001397 120 16.000000003992 3 4 4 1 4 4 4 1 1 3.00000000079839 1 5 52 67 2 2 3 1 03205 00000 00000 2
